Unique ID,Module ID,Module Code,Title,Day,Start Time,End Time,Rating,Rating Actuals,start_min,end_min,duration
1,1,BS101,Business Strategy,Monday,0 days 18:00:00,0 days 20:45:00,4.3,4.3,1080.0,1245.0,165.0
2,2,BS101,Business Strategy,Tuesday,0 days 18:00:00,0 days 20:45:00,3.8,3.8,1080.0,1245.0,165.0
3,3,BS101,Business Strategy,Wednesday,0 days 18:00:00,0 days 20:45:00,3.5,3.5,1080.0,1245.0,165.0
4,4,BS101,Business Strategy,Friday,0 days 18:00:00,0 days 20:45:00,3.5,3.5,1080.0,1245.0,165.0
5,5,BS101,Business Strategy,Monday,0 days 13:25:00,0 days 14:20:00,2.3,2.3,805.0,860.0,55.0
6,5,BS101,Business Strategy,Wednesday,0 days 13:25:00,0 days 15:15:00,2.3,2.3,805.0,915.0,110.0
7,6,BS101,Business Strategy,Tuesday,0 days 13:25:00,0 days 15:15:00,1.35,2.7,805.0,915.0,110.0
8,6,BS101,Business Strategy,Thursday,0 days 13:25:00,0 days 14:20:00,1.35,2.7,805.0,860.0,55.0
9,7,FIN300,International Finance,Wednesday,0 days 18:00:00,0 days 20:45:00,3.5,3.5,1080.0,1245.0,165.0
10,8,FIN300,International Finance,Tuesday,0 days 13:25:00,0 days 15:15:00,1.65,3.3,805.0,915.0,110.0
11,8,FIN300,International Finance,Thursday,0 days 13:25:00,0 days 14:20:00,1.65,3.3,805.0,860.0,55.0
12,9,CS101,Intergenerational Computing,Wednesday,0 days 14:30:00,0 days 17:15:00,4.4,4.4,870.0,1035.0,165.0
13,10,CS101,Intergenerational Computing,Thursday,0 days 14:30:00,0 days 17:15:00,3.1,3.1,870.0,1035.0,165.0
14,11,CS102,Web Design for Nonprofit Organisations,Tuesday,0 days 18:00:00,0 days 20:45:00,3.7,3.7,1080.0,1245.0,165.0
15,12,CS102,Web Design for Nonprofit Organisations,Wednesday,0 days 14:30:00,0 days 17:15:00,3.5,3.5,870.0,1035.0,165.0
16,13,FIN315,Data Analysis in Finance,Thursday,0 days 18:00:00,0 days 20:45:00,3.0,3.0,1080.0,1245.0,165.0
17,14,FIN315,Data Analysis in Finance,Monday,0 days 13:25:00,0 days 14:20:00,1.85,3.7,805.0,860.0,55.0
18,14,FIN315,Data Analysis in Finance,Wednesday,0 days 13:25:00,0 days 15:15:00,1.85,3.7,805.0,915.0,110.0
19,15,FIN316,Risk Management,Monday,0 days 18:00:00,0 days 20:45:00,3.6,3.6,1080.0,1245.0,165.0
20,16,FIN316,Risk Management,Monday,0 days 13:25:00,0 days 15:15:00,1.95,3.9,805.0,915.0,110.0
21,16,FIN316,Risk Management,Wednesday,0 days 13:25:00,0 days 14:20:00,1.95,3.9,805.0,860.0,55.0
22,17,FIN317,"Options, Futures and Swaps",Tuesday,0 days 18:00:00,0 days 20:45:00,3.2,3.2,1080.0,1245.0,165.0
23,18,FIN317,"Options, Futures and Swaps",Tuesday,0 days 13:25:00,0 days 15:15:00,1.7,3.4,805.0,915.0,110.0
24,18,FIN317,"Options, Futures and Swaps",Thursday,0 days 13:25:00,0 days 14:20:00,1.7,3.4,805.0,860.0,55.0
25,19,FIN 318,Fixed Instruments and Markets,Monday,0 days 18:00:00,0 days 20:45:00,3.0,3.0,1080.0,1245.0,165.0
26,20,FIN 318,Fixed Instruments and Markets,Wednesday,0 days 18:00:00,0 days 20:45:00,3.5,3.5,1080.0,1245.0,165.0
